Test ID,auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90
b_m_MenoStatus_LinearRegression/version_1,0.756944477558136,0.3431372344493866,0.653333306312561,0.6666666865348816,0.6470588445663452,0.6000000238418579,0.9166666865348816,0.45098039507865906
b_m_MenoStatus_LinearRegression/version_2,0.8217631578445435,0.20606058835983276,0.7954545617103577,0.7878788113594055,0.800000011920929,0.3636363744735718,0.9090909361839294,0.036363635212183
b_m_MenoStatus_LinearRegression/version_3,0.680911660194397,0.3678775131702423,0.6329113841056824,0.6296296119689941,0.6346153616905212,0.4303797483444214,0.8888888955116272,0.19230769574642181
b_m_MenoStatus_LinearRegression/version_4,0.6919354796409607,0.3768817186355591,0.6195651888847351,0.6333333253860474,0.6129032373428345,0.33695653080940247,0.8999999761581421,0.06451612710952759
b_m_FamRisk_RandomForest/version_0,0.6736111044883728,0.3333333134651184,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.3928571343421936,0.875,0.20000000298023224
b_m_FamRisk_RandomForest/version_1,0.655637264251709,0.3333333134651184,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.4266666769981384,0.7916666865348816,0.2549019753932953
b_m_FamRisk_RandomForest/version_2,0.8132231831550598,0.209090918302536,0.7840909361839294,0.8181818127632141,0.7636363506317139,0.6931818127632141,0.8787878751754761,0.581818163394928
b_m_FamRisk_RandomForest/version_3,0.7329059839248657,0.33974358439445496,0.6582278609275818,0.6666666865348816,0.6538461446762085,0.4810126721858978,0.8888888955116272,0.26923078298568726
b_m_FamRisk_RandomForest/version_4,0.7099461555480957,0.3279569745063782,0.6739130616188049,0.6666666865348816,0.6774193644523621,0.554347813129425,0.800000011920929,0.4354838728904724
b_m_FamRisk_SVM/version_0,0.6934027075767517,0.40833333134651184,0.5952380895614624,0.5833333134651184,0.6000000238418579,0.2976190447807312,0.875,0.06666667014360428
b_m_FamRisk_SVM/version_1,0.7418299913406372,0.39338234066963196,0.6000000238418579,0.625,0.5882353186607361,0.46666666865348816,0.9166666865348816,0.2549019753932953
b_m_FamRisk_SVM/version_2,0.849862277507782,0.1818181872367859,0.8181818127632141,0.8181818127632141,0.8181818127632141,0.4886363744735718,0.9090909361839294,0.23636363446712494
b_m_FamRisk_SVM/version_3,0.7279202342033386,0.25462964177131653,0.746835470199585,0.7407407164573669,0.75,0.39240506291389465,0.8888888955116272,0.13461539149284363
b_m_FamRisk_SVM/version_4,0.7424730658531189,0.3032258152961731,0.695652186870575,0.699999988079071,0.6935483813285828,0.31521740555763245,0.8999999761581421,0.032258063554763794
